1 of 464



Result File: Babes in the Jungle.txt res
['property', 'NOUN', '2']
['impulse', 'NOUN', '2']
['crack', 'VERB', '1']
['head', 'NOUN', '2']
['billiard', 'NOUN', '1']
['cue', 'NOUN', '2']
['refrain', 'VERB', '2']
['attention', 'NOUN', '1']
['rack', 'VERB', '1']
['plainly', 'ADV', '1']
['sound', 'ADJ', '1']
['proceed', 'VERB', '1']
['deduct', 'NOUN', '1']
['use', 'NOUN', '1']
['day', 'NOUN', '6']
['annunciator', 'NOUN', '3']
['grow', 'VERB', '1']
['formidable', 'ADJ', '1']
['dimension', 'NOUN', '1']
['fortyseven', 'VERB', '1']
['tag', 'NOUN', '1']
['chimney', 'NOUN', '1']
['occupy', 'ADJ', '2']
['space', 'NOUN', '1']
['ordinary', 'ADJ', '1']
['wardrobe', 'NOUN', '1']
['gong', 'X', '9']
['size', 'NOUN', '1']
['washbowl', 'NOUN', '1']
['place', 'NOUN', '2']
['bed', 'NOUN', '6']
['wire', 'NOUN', '4']
['coachman', 'NOUN', '7']
['quarter', 'NOUN', '1']
['stable', 'ADJ', '2']
['noble', 'ADJ', '2']
['alongside', 'ADP', '1']
['pillow', 'VERB', '1']
['comfortable', 'ADJ', '1']
['defect', 'ADJ', '2']
['cook', 'VERB', '3']
['open', 'ADJ', '3']
['kitchen', 'NOUN', '5']
['door', 'NOUN', '6']
['rip', 'VERB', '2']
['happen', 'VERB', '5']
['sure', 'ADJ', '1']
['bedno', 'NOUN', '1']
['itfor', 'ADP', '1']
['effect', 'NOUN', '1']
['frightful', 'ADJ', '1']
['hurl', 'NOUN', '1']
['slam', 'NOUN', '3']
['wall', 'NOUN', '1']
['curl', 'VERB', '1']
['squirm', 'ADJ', '1']
['like', 'ADP', '3']
['spider', 'NOUN', '1']
['stove', 'VERB', '1']
['lid', 'NOUN', '1']
['till', 'ADP', '1']
['somebody', 'NOUN', '1']
['shut', 'VERB', '1']
['clamor', 'NOUN', '2']
['remotely', 'ADV', '1']
['comparable', 'ADJ', '1']
['dire', 'ADJ', '1']
['catastrophe', 'NOUN', '1']
['regularly', 'ADV', '1']
['oclock', 'NOUN', '2']
['lose', 'VERB', '1']
['hour', 'NOUN', '5']
['mind', 'NOUN', '1']
['wake', 'VERB', '3']
['merely', 'ADV', '1']
['spot', 'NOUN', '1']
['conscience', 'NOUN', '1']
['eighteen', 'NUM', '1']
['wideawakeness', 'ADJ', '2']
['subsequentlyeighteen', 'ADJ', '1']
['inconceivable', 'ADJ', '1']
['life', 'NOUN', '2']
['die', 'VERB', '1']
['hand', 'NOUN', '2']
['aid', 'NOUN', '1']
['vacate', 'ADJ', '1']
['overnight', 'ADV', '1']
['wait', 'VERB', '3']
['general', 'ADJ', '1']
['judgment', 'NOUN', '1']
['sir', 'NOUN', '4']
['prompt', 'ADJ', '1']
['unostentatious', 'ADJ', '1']
['mighty', 'ADJ', '1']
['collect', 'VERB', '1']
['lifeinsurance', 'NOUN', '1']
['live', 'ADJ', '1']
['happy', 'ADJ', '1']
['plenty', 'ADJ', '1']
['proof', 'NOUN', '1']
['perfect', 'ADJ', '1']
['squareness', 'NOUN', '1']
['death', 'NOUN', '1']
['gradually', 'ADV', '1']
['fade', 'NOUN', '1']
['daily', 'ADV', '1']
['loss', 'NOUN', '1']
['finally', 'ADV', '3']
['run', 'VERB', '2']
['outside', 'ADV', '1']
['switch', 'VERB', '6']
['thoma', 'NOUN', '1']
['butler', 'NOUN', '1']
['mistakehe', 'NOUN', '1']
['daybreak', 'NOUN', '1']
['enable', 'VERB', '1']
['break', 'VERB', '1']
['end', 'NOUN', '1']
['week', 'NOUN', '4']
['recognize', 'VERB', '1']
['delusion', 'NOUN', '1']
['snare', 'NOUN', '1']
['discover', 'NOUN', '1']
['band', 'NOUN', '1']
['lodge', 'NOUN', '1']
['timenot', 'ADV', '1']
['exactly', 'ADV', '1']
['steal', 'VERB', '1']
['hide', 'VERB', '2']
['police', 'NOUN', '1']
['hot', 'ADJ', '1']
['press', 'NOUN', '1']
['shrewdly', 'ADV', '1']
['judge', 'NOUN', '2']
['detective', 'NOUN', '1']
['tribe', 'NOUN', '1']
['sanctuary', 'ADJ', '1']
['notoriously', 'ADV', '1']
['protect', 'VERB', '1']
['imposing', 'VERB', '1']
['elaborate', 'ADJ', '1']
['america', 'NOUN', '1']
['strike', 'NOUN', '1']
['dazzling', 'VERB', '1']
['ideahe', 'NOUN', '1']
['fix', 'VERB', '3']
['idea', 'NOUN', '1']
['accordingly', 'ADV', '1']
['foresee', 'NOUN', '1']
['result', 'NOUN', '1']
['longer', 'ADV', '1']
['thomass', 'NOUN', '1']
['memory', 'NOUN', '1']
['soon', 'ADV', '2']
['walk', 'VERB', '2']
['aggravatingly', 'ADV', '1']
['situate', 'NOUN', '1']
['company', 'NOUN', '2']
['cure', 'NOUN', '1']
['answer', 'NOUN', '4']
['ground', 'NOUN', '1']
['establish', 'VERB', '1']
['work', 'NOUN', '4']
['season', 'NOUN', '2']
['peace', 'NOUN', '1']
['ensue', 'NOUN', '1']
['invite', 'VERB', '1']
['enjoy', 'VERB', '1']
['irrepressible', 'ADJ', '1']
['invent', 'NOUN', '1']
['kink', 'VERB', '1']
['winter', 'NOUN', '1']
['fling', 'VERB', '2']
['sudden', 'ADJ', '1']
['music', 'NOUN', '1']
['awful', 'ADJ', '1']
['hobble', 'NOUN', '1']
['turn', 'VERB', '4']
['gas', 'NOUN', '2']
['word', 'NOUN', '1']
['nursery', 'NOUN', '4']
['expose', 'VERB', '1']
['faint', 'ADJ', '1']
['dead', 'ADJ', '1']
['away', 'ADV', '1']
['precious', 'ADJ', '1']
['near', 'ADP', '1']
['seize', 'VERB', '1']
['shotgun', 'VERB', '1']
['stand', 'VERB', '2']
['whilst', 'ADP', '1']
['appalling', 'ADJ', '1']
['buzz', 'NOUN', '2']
['gun', 'NOUN', '3']
['clothe', 'ADJ', '1']
['ripe', 'ADJ', '1']
['creep', 'VERB', '1']
['glance', 'NOUN', '1']
['dim', 'ADJ', '1']
['outline', 'NOUN', '1']
['yard', 'NOUN', '1']
['presentarm', 'NOUN', '1']
